grade,stage,temp_min_C,temp_max_C,hold_min_per_25mm,cooling,required,source_file,anchor,snippet
SA-106-A,StressRelief,650,,1,Any,Conditional,ref_code/output_astm/ASTM_A106_A106M_15/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=A#Stage=StressRelief,heat treated at a temperature of 1200 °F [650 °C] or higher
SA-106-B,StressRelief,650,,1,Any,Conditional,ref_code/output_astm/ASTM_A106_A106M_15/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=B#Stage=StressRelief,heat treated at a temperature of 1200 °F [650 °C] or higher
SA-106-C,StressRelief,650,,1,Any,Conditional,ref_code/output_astm/ASTM_A106_A106M_15/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=C#Stage=StressRelief,heat treated at a temperature of 1200 °F [650 °C] or higher
SA-335-P11,Tempering,650,,1,,Y,ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=P11#Stage=Tempering,| P11 | full or isothermal anneal or normalize and temper or subcritical anneal | … | … | 1200 [650]
SA-335-P22,Tempering,675,,1,,Y,ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=P22#Stage=Tempering,| P22 | full or isothermal anneal or normalize and temper or subcritical anneal | … | … | 1250 [675]
SA-335-P91,Normalizing,1040,1080,1,Air,Y,ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=P91#Stage=Normalizing,| P91 Type 1 and Type 2 | normalize and temper
SA-335-P91,Tempering,730,800,1,,Y,ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=P91#Stage=Tempering,"After weld repair, Grades P23, P91 Type 1 and Type 2, P92, and P122 shall be heat treated at 1350–1470 °F [730–800 °C]"
SA-335-P92,Normalizing,1040,1170,1,Air,Y,ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=P92#Stage=Normalizing,| P92 | normalize and temper | 1900–2140 [1040–1170]
SA-335-P92,Tempering,730,800,1,,Y,ref_code/output_astm/ASTM_A335_A335M_19a/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=P92#Stage=Tempering,| P92 | normalize and temper | 1900–2140 [1040–1170] | … | 1350–1470 [730–800]
SA-182-F11,Tempering,730,800,1,Air,Y,ref_code/output_astm/ASTM_A182_A182M_16a/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=F11#Stage=Tempering,"| F 11, Class 2 | solution heat and quench | 1900-1975 [1040-1080] | air cool | | 1150-1475 [730-800] |"
SA-182-F22,Tempering,730,780,1,Air,Y,ref_code/output_astm/ASTM_A182_A182M_16a/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=F22#Stage=Tempering,| F 22 | normalize and temper | 1900-1975 [1040-1080] | air or liquid | | 1350-1435 [730-780] |
SA-182-F91,Normalizing,1040,1080,1,Air,Y,ref_code/output_astm/ASTM_A182_A182M_16a/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=F91#Stage=Normalizing,| F 91 | normalize and temper | 1900-1975 [1040-1080] | air cool | | 1350-1435 [730-780] |
SA-182-F91,Tempering,730,780,1,,Y,ref_code/output_astm/ASTM_A182_A182M_16a/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=F91#Stage=Tempering,| F 91 | normalize and temper | 1900-1975 [1040-1080] | air cool | | 1350-1435 [730-780] |
SA-182-F92,Normalizing,1040,1080,1,Air,Y,ref_code/output_astm/ASTM_A182_A182M_16a/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=F92#Stage=Normalizing,| F 92 | normalize and temper | 1900-1975 [1040-1080] | air cool | | 1350-1435 [730-780] |
SA-182-F92,Tempering,730,780,1,,Y,ref_code/output_astm/ASTM_A182_A182M_16a/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=F92#Stage=Tempering,| F 92 | normalize and temper | 1900-1975 [1040-1080] | air cool | | 1350-1435 [730-780] |
SA-234-WP11,Tempering,620,,1,,Y,ref_code/output_astm/ASTM_A234_A234M_15/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=WP11#Stage=Tempering,The minimum tempering temperature for WP11 Class 3 shall be 1150 °F [620 °C]
SA-234-WP22,Tempering,675,,1,,Y,ref_code/output_astm/ASTM_A234_A234M_15/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=WP22#Stage=Tempering,"1250 °F [675 °C] for Grades WP5, WP9, WP22 Class 2 and 1350 °F [730 °C] for Grades WP91 and WP911"
SA-234-WP91,Normalizing,1040,1080,1,Air,Y,ref_code/output_astm/ASTM_A234_A234M_15/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=WP91#Stage=Normalizing,WP91 shall be normalized at 1900 °F [1040 °C] minimum and 1975 °F [1080 °C] maximum
SA-234-WP91,Tempering,730,800,1,,Y,ref_code/output_astm/ASTM_A234_A234M_15/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=WP91#Stage=Tempering,"WP91 shall be normalized at 1900 °F [1040 °C] minimum and 1975 °F [1080 °C] maximum, and tempered in the temperature range of 1350 °F [730 °C] to 1470 °F [800 °C] as a final heat treatment"
SA-234-WP92,Normalizing,1040,1080,1,Air,Y,ref_code/output_astm/ASTM_A234_A234M_15/raw_pages/pages_0001-0005.md,HeatTreatment#Grade=WP92#Stage=Normalizing,"Grade WP92 shall be normalized at 1900 °F [1040 °C] minimum, and 1975 °F [1080 °C] maximum"
